source,preprint_doi,published_doi,published_journal,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract
biorxiv,10.1101/390930,10.1371/journal.pone.0202844,PLOS ONE,Predicting provenance of forensic soil samples: soil DNA predicts habitat and environmental properties,"Flojgaard, C.; Froslev, T. G.; Brunbjerg, A. K.; Bruun, H. H.; Moeslund, J.; Hansen, A. J.; Ejrnaes, R.",ecology,2018-08-13,2019-07-08,"Environmental DNA is increasingly applied in ecological studies, including forensic ecology where eDNA from soil can be used to pair samples or reveal sample provenance. We collected soil eDNA samples as part of a large national biodiversity research project across 130 sites in Denmark. We investigated the potential for soil eDNA in predicting provenance in terms of environmental conditions, habitat characteristics and geographic regions. We used linear regression for predicting environmental gradients of light, moisture, soil pH and nutrients (represented by Ellenberg Indicator Values, EIVs) and quadratic discriminant analysis (QDA) to predict habitat class and geographic region. We found high predictive power for environmental gradients (R2 > 0.73). The discriminatory power of QDA in predicting habitat characteristics varied from high accuracy in predicting certain forest types, less accurate prediction of heathland and poor accuracy for geographic region. We demonstrate the application of provenance prediction in forensic science by evaluating and discussing two mock crime scenes. Here, we supplement with plant species lists from annotated sequences. Where predictions of environmental gradients and habitat classes give an overall accurate description of a crime scene, care should be taken when interpreting annotated sequences, e.g. due to erroneous assignments in GenBank. The outlined approach clearly demonstrates that basic ecological information that can be extracted from soil eDNA, contributing to the range of potential applications of eDNA in forensic ecology."
biorxiv,10.1101/2020.04.15.042127,10.1016/j.cub.2020.09.056,Current Biology,Lateral gene transfer of anion-conducting channelrhodopsins between green algae and giant viruses,"Rozenberg, A.; Oppermann, J.; Wietek, J.; Fernandez Lahore, R. G.; Sandaa, R.-A.; Bratbak, G.; Hegemann, P.; Beja, O.",microbiology,2020-04-16,2020-10-15,"Channelrhodopsins (ChRs) are algal light-gated ion channels widely used as optogenetic tools for manipulating neuronal activity 1,2. Four ChR families are currently known. Green algal 3-5 and cryptophyte 6 cation-conducting ChRs (CCRs), cryptophyte anion-conducting ChRs (ACRs) 7, and the MerMAID ChRs 8. Here we report the discovery of a new family of phylogenetically distinct ChRs encoded by marine giant viruses and acquired from their unicellular green algal prasinophyte hosts. These previously unknown viral and green algal ChRs act as ACRs when expressed in cultured neuroblastoma-derived cells and are likely involved in behavioral responses to light."
biorxiv,10.1101/540013,10.1094/phyto-07-19-0261-r,Phytopathology®,When does spatial diversification usefully maximise the durability of crop disease resistance?,"Watkinson-Powell, B.; Gilligan, C. A.; Cunniffe, N. J.",epidemiology,2019-02-08,2020-06-05,"1Maximising the durability of crop disease resistance genes in the face of pathogen evolution is a major challenge in modern agricultural epidemiology. Spatial diversification in the deployment of resistance genes, where susceptible and resistant fields are more closely intermixed, is predicted to drive lower epidemic intensities over evolutionary timescales. This is due to an increase in the strength of dilution effects, caused by pathogen inoculum challenging host tissue to which it is not well-specialised. The factors that interact with and determine the magnitude of this spatial effect are not currently well understood however, leading to uncertainty over the pathosystems where such a strategy is most likely to be cost-effective. We model the effect on landscape scale disease dynamics of spatial heterogeneity in the arrangement of fields planted with either susceptible or resistant cultivars, and the way in which this effect depends on the parameters governing the pathosystem of interest. Our multi-season semi-discrete epidemiological model tracks spatial spread of wild-type and resistance breaking pathogen strains, and incorporates a localised reservoir of inoculum, as well as the effects of within and between field transmission. The pathogen dispersal characteristics, any fitness cost(s) of the resistance breaking trait, the efficacy of host resistance, and the length of the timeframe of interest, all influence the strength of the spatial diversification effect. These interactions, which are often complex and non-linear in nature, produce substantial variation in the predicted yield gain from the use of a spatial diversification strategy. This in turn allows us to make general predictions of the types of system for which spatial diversification is most likely to be cost-effective, paving the way for potential economic modelling and pathosystem specific evaluation. These results highlight the importance of studying the effect of genetics on landscape scale spatial dynamics within host-pathogen disease systems."
biorxiv,10.1101/2025.09.16.676457,10.1016/j.biochi.2026.03.011,Biochimie,Ancestral Origin of the CXCL17-GPR25 System Traced to the Lobe-Finned Fish Latimeria chalumnae,"Yu, J.; Wang, J.-J.; Hu, W.-F.; Liu, Y.-L.; Xu, Z.-G.; Guo, Z.-Y.",biochemistry,2025-09-18,2026-03-25,"The roles of C-X-C motif chemokine ligand 17 (CXCL17) and its receptor, G protein-coupled receptor 25 (GPR25), in immune regulation are gaining recognition, but their evolutionary origins and phylogenetic distributions have yet to be determined. In this study, we identified a CXCL17 gene in the lobe-finned fish Latimeria chalumnae (coelacanth), a close living relative of tetrapods. This gene produces two alternatively spliced secretory proteins, designated Lc-CXCL17a and Lc-CXCL17b, which display limited sequence similarity to known CXCL17s from mammals or ray-finned fishes. Recombinant forms of Lc-CXCL17a and Lc-CXCL17b were generated via bacterial overexpression, purification, and enzymatic processing. Functional assays, including NanoLuc Binary Technology (NanoBiT)-based {beta}-arrestin recruitment, ligand-receptor binding, and chemotaxis assays, demonstrated that both proteins tightly bound to and potently activated coelacanth GPR25 in a manner dependent on their C-terminal residues, because removal of these residues markedly diminished activities. These findings provide the first evidence that a functional CXCL17-GPR25 system exists in lobe-finned fishes, supporting the hypothesis that this ligand-receptor pair originated in ancient fishes and was transmitted to vertebrate lineages through lobe-finned fish ancestors. This work broadens understanding of chemokine evolution and highlights the coelacanth as a valuable model for tracing conserved immune signaling pathways."
biorxiv,10.1101/2021.06.10.447396,10.1038/s41378-022-00357-3,Microsystems & Nanoengineering,Scalable and Automated CRISPR-Based Strain Engineering Using Droplet Microfluidics,"Iwai, K.; Wehrs, M.; Garber, M.; Sustarich, J.; Washburn, L.; Costello, Z.; Kim, P. W.; Ando, D.; Gaillard, W. R.; Hillson, N. J.; Adams, P. D.; Mukhopadhyay, A.; Martin, H. G.; Singh, A. K.",synthetic biology,2021-06-10,2022-03-15,"We present a droplet-based microfluidic system that enables CRISPR-based gene editing and high-throughput screening on chip. The microfluidic device contains a 10 x 10 element array, each element containing sets of electrodes for two electric field actuated operations-electrowetting for merging droplets to mix reagents and electroporation for transformation. It can perform up to 100 genetic modifications in parallel, providing a scalable platform for generating the large number of engineered strains required for combinatorial optimization of genetic pathways and predictable bioengineering. We demonstrate the systems capabilities through CRISPR-based engineering of two test cases-1) disruption of the function of enzyme galactokinase (galK) in E. coli and 2) targeted engineering of glutamine synthetase gene (glnA) and blue-pigment synthetase (bpsA) enzyme to improve indigoidine production in E. coli."
biorxiv,10.1101/350132,10.1371/journal.ppat.1007163,PLOS Pathogens,The acidic domain of the hepatitis C virus NS4A protein is required for viral assembly and envelopment through interactions with the viral E1 glycoprotein,"Roder, A. E.; Horner, S. M.",microbiology,2018-06-18,2019-02-07,"Hepatitis C virus (HCV) assembly and envelopment are coordinated by a complex protein interaction network that includes most of the viral structural and nonstructural proteins. While the nonstructural protein 4A (NS4A) is known to be important for viral particle production, the specific function of NS4A in this process is not well understood. We performed mutagenesis of the C-terminal acidic domain of NS4A and found that mutation of several of these amino acids prevented the formation of the viral envelope, and therefore the production of infectious virions, without affecting viral RNA replication. In an overexpression system, we found that NS4A interacted with several viral proteins known to coordinate envelopment, including the viral E1 glycoprotein. One of the NS4A C-terminal mutations, Y45F, disrupted the interaction of NS4A with E1. Specifically, NS4A interacted with the first hydrophobic region of E1, a region previously described as regulating viral particle production. Supernatants from HCV NS4A Y45F transfected cells had significantly reduced levels of HCV RNA, however they contained equivalent levels of Core protein. Interestingly, the Core protein secreted from these cells formed high order oligomers with a density matching the infectious virus secreted from WT cells. These results suggest that this Y45F mutation in NS4A causes secretion of low density Core particles devoid of genomic HCV RNA. These results corroborate previous findings showing that mutation of the first hydrophobic region of E1 also causes secretion of Core complexes lacking RNA, and therefore suggest that the interaction between NS4A and E1 is involved in the incorporation of viral RNA into infectious HCV particles. Our findings define a new role for NS4A in the HCV lifecycle and help elucidate the protein interactions necessary for production of infectious virus.\n\nAuthor SummaryRNA viruses, which encompass both established and emerging pathogens, pose significant public health challenges. Viruses in the family Flavivirdae, including Dengue virus, Zika virus and hepatitis C virus (HCV), continue to cause morbidity and mortality worldwide. One HCV protein, NS4A, has known functions in several steps of the viral lifecycle, however, how it contributes to viral particle production is not understood. Here, we investigated the role of one region of NS4A, the C-terminal acidic domain, in regulating the viral lifecycle. We found that some of the amino acids within this domain are important for viral envelopment to make infectious particles, specifically through interaction with the E1 glycoprotein. NS4A interacts with the first hydrophobic domain of E1. Disruption of this interaction prevents the production of infectious virus particles and instead results in release of low density Core protein complexes that lack HCV RNA into the cellular supernatant. Overall, our results reveal that NS4A is important for late stages of the HCV lifecycle and suggest that the interaction between NS4A and E1 may regulate the incorporation of viral RNA into the virion for the formation of infectious HCV particles."
biorxiv,10.1101/378232,10.1364/oe.27.034472,Optics Express,Tiling light sheet selective plane illumination microscopy using discontinuous light sheets,"Gao, L.",biophysics,2018-07-26,2019-11-08,"Tiling light sheet selective plane illumination microscopy (TLS-SPIM) improves 3D imaging ability of SPIM by using a real-time optimized tiling light sheet. However, the imaging speed decreases, and size of the raw image data increases proportionally to the number of tiling positions in TLS-SPIM. The decreased imaging speed and the increased raw data size could cause significant problems when TLS-SPIM is used to image large specimens at high spatial resolution. Here, we present a novel method to solve the problem. Discontinuous light sheets created by scanning coaxial beam arrays synchronized with camera exposures are used for 3D imaging to decrease the number of tiling positions required at each image plane without sacrificing the spatial resolution. We investigate the performance of the method via numerical simulation and discuss the technical details of the method."
biorxiv,10.1101/2023.05.07.539767,10.7554/elife.91483.3,eLife,Neural spike signatures determine the behavioral presentation of cerebellar disease,"van der Heijden, M. E.; Brown, A. M.; Kizek, D. J.; Sillitoe, R. V.",neuroscience,2023-05-08,2024-07-29,"The cerebellum contributes to a diverse array of motor conditions including ataxia, dystonia, and tremor. The neural substrates that encode this diversity are unclear. Here, we tested whether the neural spike activity of cerebellar output neurons is distinct between movement disorders with different impairments, generalizable across movement disorders with similar impairments, and capable of causing distinct movement impairments. Using in vivo awake recordings as input data, we trained a supervised classifier model to differentiate the spike parameters between mouse models for ataxia, dystonia, and tremor. The classifier model correctly assigned mouse phenotypes based on single neuron signatures. Spike signatures were shared across etiologically distinct but phenotypically similar disease models. Mimicking these pathophysiological spike signatures with optogenetics induced the predicted motor impairments in otherwise healthy mice. These data show that distinct spike signatures promote the behavioral presentation of cerebellar diseases."
medrxiv,10.1101/2021.07.08.21260169,10.1038/s41392-021-00819-6,Signal Transduction and Targeted Therapy,Endothelial dysfunction determines severe COVID-19 in combination with dysregulated lymphocyte responses and cytokine networks,"Ruhl, L.; Pink, I.; Kuehne, J. F.; Beushausen, K.; Keil, J.; Christoph, S.; Sauer, A.; Boblitz, L.; Schmidt, J.; David, S.; Jaeck, H.-M.; Roth, E.; Cornberg, M.; Schulz, T. F.; Welte, T.; Hoeper, M.; Falk, C. S.",infectious diseases,2021-07-10,2021-12-10,"The systemic processes involved in the manifestation of life-threatening COVID-19 and in disease recovery are still incompletely understood, despite investigations focusing on the dysregulation of immune responses after SARS-CoV-2 infection. To define hallmarks of severe COVID-19 and disease recovery in convalescent patients, we combined analyses of immune cells and cytokine/chemokine networks with endothelial activation and injury. ICU patients displayed an altered immune signature with prolonged lymphopenia but expansion of granulocytes and plasmablasts along with activated and terminally differentiated T and NK cells and high levels of SARS-CoV-2-specific antibodies. Core signature of seven plasma proteins revealed a highly inflammatory microenvironment in addition to endothelial injury in severe COVID-19. Changes within this signature were associated with either disease progression or recovery. In summary, our data suggest that besides a strong inflammatory response, severe COVID-19 is driven by endothelial activation and barrier disruption, whereby recovery depends on the regeneration of the endothelial integrity."
medrxiv,10.1101/2025.04.25.25326426,10.1111/ene.70639,European Journal of Neurology,"Optic Nerve Lesion Volume, White Matter Hyperintensities, and Brain Volumetrics in Multiple Sclerosis: A Multi-Sequence MRI-Based Analysis","Korbecki, A.; Konopczynski, T.; Hawro, O.; Blachucik, A.; Winiarczyk, K.; Litwinowicz, K.; Sobanski, M.; Zdanowicz-Ratajczyk, A.; Korbecka, J.; Chojdak-Łukasiewicz, J.; Pokryszko-Dragan, A.; Bladowska, J.; Zimny, A.",radiology and imaging,2025-04-25,2026-06-05,"ObjectivesTo investigate the relationship between optic nerve lesion volume (ONLV), measured on double inversion recovery (DIR) MRI, and other radiological biomarkers of disease burden in multiple sclerosis (MS), including white matter hyperintensities (WMHs), T1-weighted hypointensities (""black holes""), and brain volumetrics. This study aims to determine whether ONLV correlates with a more severe neurodegenerative profile and could serve as a potential biomarker for disease severity.

Materials and MethodsIn this cross-sectional study, 212 MS patients underwent 3T MRI including 3D T1W, FLAIR, and DIR sequences. Optic nerve lesions were manually segmented on DIR images and quantified volumetrically. Patients were grouped by optic nerve involvement: none (n = 59), unilateral (n = 60), or bilateral (n = 93). WMHs were segmented and anatomically categorized using an AI-based tool. T1W hypointensities were extracted via FreeSurfer, and brain volumetrics were assessed using a machine learning-based segmentation algorithm on both 3D T1W and FLAIR images. Statistical comparisons and correlation analyses were performed using multivariate models adjusted for total intracranial volume.

ResultsONLV was positively correlated with periventricular (r = 0.365, p < 0.001), deep white matter (r = 0.165, p = 0.005), and juxtacortical (r = 0.163, p = 0.007) WMHs. Patients with bilateral optic nerve involvement exhibited significantly higher WMH burden, greater T1W hypointensities ({beta} = 10.91, p < 0.001), and more pronounced cerebral white matter atrophy ({beta} = -107.02, p = 0.016). Regional brain atrophy was most evident in structures along the visual pathway (e.g., cuneus, fusiform gyrus, pericalcarine cortex, and thalamus). Additionally, periventricular WMH volume was significantly associated with global brain atrophy, including cortical and subcortical gray matter loss.

ConclusionsThis study demonstrates that ONLV, as quantified on DIR MRI, is associated with increased lesion burden, irreversible white matter damage, and widespread brain atrophy in MS. These findings suggest that ONLV may serve as a potential imaging biomarker of disease severity and could be integrated into standard MRI protocols for MS assessment. Future longitudinal studies are warranted to validate ONLV as a marker of disease progression and treatment response."
biorxiv,10.1101/2020.09.07.285585,10.1117/1.nph.9.4.041404,Neurophotonics,Comparing volumetric reconstruction algorithms for light field imaging of high signal-to-noise ratio neuronal calcium transients,"Howe, C. L.; Quicke, P.; Song, P.; Verinaz Jadan, H.; Dragotti, P. L.; Foust, A. J.",bioengineering,2020-09-09,2022-03-11,"SignificanceLight-field microscopy (LFM) enables fast, light-efficient, volumetric imaging of neuronal activity with calcium indicators. Calcium transients differ in temporal signal-to-noise ratio (tSNR) and spatial confinement when extracted from volumes reconstructed by different algorithms.

AimWe evaluated the capabilities and limitations of two light-field reconstruction algorithms for calcium fluorescence imaging.

ApproachWe acquired light-field image series from neurons either bulk-labeled or filled intracellularly with the red-emitting calcium dye CaSiR-1 in acute mouse brain slices. We compared the tSNR and spatial confinement of calcium signals extracted from volumes reconstructed with synthetic refocusing and Richardson-Lucy 3D deconvolution with and without total variation regularization.

ResultsBoth synthetic refocusing and Richardson-Lucy deconvolution resolved calcium signals from single cells and neuronal dendrites in three dimensions. Increasing deconvolution iteration number improved spatial confinement but reduced tSNR compared to synthetic refocusing. Volumetric light-field imaging did not decrease calcium signal tSNR compared to interleaved, widefield image series acquired in matched planes.

ConclusionsLFM enables high-volume rate, volumetric imaging of calcium transients in single cells (bulk-labeled), somata and dendrites (intracellular loaded). The trade-offs identified for tSNR, spatial confinement, and computational cost indicate which of synthetic refocusing or deconvolution can better realize the scientific requirements of future LFM calcium imaging applications."
medrxiv,10.1101/2020.04.09.20059857,10.1016/j.adro.2020.04.012,Advances in Radiation Oncology,Implementation of a Novel Remote Physician SBRT Coverage Process during the Coronavirus Pandemic,"Price, A. T.; Henke, L. E.; Maraghechi, B.; Kim, T.; Spraker, M. B.; Hugo, G. D.; Robinson, C. G.; Knutson, N. C.",oncology,2020-04-14,2020-04-28,"INTRODUCTIONDuring the COVID-19 pandemic, alternative methods of care are needed to reduce the relative risk of transmission in departments. Also needed is the ability to provide vital radiation oncological care if radiation oncologists (RO) are reallocated to other departments. We implemented a novel remote RO SBRT coverage practice, requiring it to be reliable, of high audio and visual quality, timely, and the same level of specialty care as our current in-person treatment coverage practice.

METHODSAll observed failure modes were recorded during implementation over the first 15 sequential fractions. The time from CBCT to treatment was calculated before and after implementation to determine timeliness of remote coverage. Image quality metrics were calculated between the imaging console screen and the ROs shared screen. Comfort levels with audio/visual communication as well as overall comfort in comparison to in-person RO coverage was evaluated using Likert scale surveys after treatment.

RESULTSRemote RO SBRT coverage was successfully implemented in 14/15 fractions with 3 observed process failures that were all corrected before treatment. Average times of pre-treatment coverage before and after implementation were 8.74 and 8.51min, respectively. The cross correlation between the imaging console screen and ROs shared screen was r=0.96 and lag was 0.05s. The average value for all survey questions was above 4.5, approaching in-person RO coverage comfort levels.

CONCLUSIONSOur novel method of remote RO SBRT coverage permits reduced personnel and patient interactions surrounding RT procedures. This may help to reduce transmission of COVID-19 in our department and provides a means for SBRT coverage if ROs are reallocated to other areas of the hospital for COVID-19 support."
biorxiv,10.1101/2022.08.01.502370,10.1016/j.xgen.2023.100458,Cell Genomics,Polymorphic short tandem repeats make widespread contributions to blood and serum traits,"Margoliash, J.; Fuchs, S.; Li, Y.; Massarat, A.; Goren, A.; Gymrek, M.",genetics,2022-08-03,2023-12-13,"Short tandem repeats (STRs), genomic regions each consisting of a sequence of 1-6 base pairs repeated in succession, represent one of the largest sources of human genetic variation. However, many STR effects are not captured well by standard genome-wide association studies (GWAS) or downstream analyses that are mostly based on single nucleotide polymorphisms (SNPs). To study the involvement of STRs in complex traits, we imputed genotypes for 445,720 autosomal STRs into genotype array data from 408,153 White British UK Biobank participants and tested for association with 44 blood and serum biomarker phenotypes. We used two fine-mapping methods, SuSiE and FINEMAP, to identify 119 high-confidence STR-trait associations across 93 unique STRs predicted as causal variants under all fine-mapping settings tested. Using these results, we estimate that STRs account for 5.2-7.6% of causal variants identifiable from GWAS signals for these traits. Our high confidence STR-trait associations implicate STRs in some of the strongest hits for multiple phenotypes, including a CTG repeat in APOB associated with circulating apolipoprotein B levels, a CGG repeat in the promoter of CBL associated with multiple platelet traits and a poly-A repeat in TAOK1 associated with mean platelet volume. Replication analyses in additional population groups and orthogonal expression data further support the role of a subset of the candidate STRs we identify. Together, our study suggests that polymorphic tandem repeats make widespread contributions to complex traits, provides a set of stringently selected candidate causal STRs, and demonstrates the need to routinely consider a more complete view of human genetic variation in GWAS."
biorxiv,10.1101/2020.01.06.895508,10.1002/cne.25084,Journal of Comparative Neurology,Late onset of Syt2a expression at synapses relevant to social behavior,"Goode, C.; Vouen, M.; Ncube, D.; Eisen, J.; Washbourne, P.; Tallafuss, A.",neuroscience,2020-01-06,2020-12-17,"As they form, synapses go through various stages of maturation and refinement. These steps are linked to significant changes in synaptic function, potentially resulting in changes in behavior. Here, we examined the distribution of the synaptic vesicle protein Synaptotagmin 2a (Syt2a) during development of the zebrafish nervous system. Syt2a is widely distributed throughout the midbrain and hindbrain early during larval development but very weakly expressed in the forebrain. Later in development, Syt2a expression levels increase, particularly in regions associated with social behavior, and most intriguingly, around the time social behavior becomes apparent. We provide evidence that Syt2a localizes to synapses on socially-relevant neurons in the ventral forebrain, co-localizing with tyrosine hydroxylase, a biosynthetic enzyme in the dopamine pathway. Our results suggest a maturation step for synapses in the forebrain that are spatiotemporally related to social behavior."
biorxiv,10.1101/2022.08.26.505481,10.1094/mpmi-09-22-0192-r,Molecular Plant-Microbe Interactions®,Overlapping local and systemic defense induced by an oomycete fatty acid MAMP and brown seaweed extract in tomato,"Lewis, D. C. A.; Stevens, D. M.; Little, H.; Coaker, G.; Bostock, R. M.",plant biology,2022-08-26,2023-02-20,"Eicosapolyenoic fatty acids are integral components of oomycete pathogens that can act as microbe-associated molecular patterns (MAMPs) to induce disease resistance in plants. Defense inducing eicosapolyenoic fatty acids include arachidonic (AA) and eicosapentaenoic acids, and are strong elicitors in solanaceous plants with bioactivity in other plant families. Similarly, extracts of the brown seaweed, Ascophyllum nodosum, used in sustainable agriculture as a biostimulant of plant growth, may also induce disease resistance. A. nodosum, similar to other macroalgae, is rich in eicosapolyenoic fatty acids, which comprise as much as 25% of total fatty acid composition. We investigated the response of roots and leaves from AA or a commercial A. nodosum extract (ANE) on root-treated tomatoes via RNA sequencing, phytohormone profiling, and disease assays. AA and ANE significantly altered transcriptional profiles relative to control plants, inducing numerous defense-related genes with both substantial overlap as well as differences in gene expression patterns. Root treatment with AA and, to a lesser extent, ANE also altered both salicylic acid and jasmonic acid levels while inducing local and systemic resistance to oomycete and bacterial pathogen challenge. Thus, our study highlights overlap in both local and systemic defense induced by AA and ANE, with potential for inducing broad-spectrum resistance against pathogens."
biorxiv,10.1101/2023.03.31.535039,10.1038/s41467-023-39735-4,Nature Communications,Epigenetic mechanisms to propagate histone acetylation by p300/CBP,"Kikuchi, M.; Morita, S.; Wakamori, M.; Sato, S.; Uchikubo-Kamo, T.; Shirouzu, M.; Umehara, T.",biochemistry,2023-03-31,2023-07-17,"Histone acetylation is important for the activation of gene transcription but little is known about its direct  read/write mechanisms. Here, we report cryo-electron microscopy structures in which a p300/CBP multidomain monomer recognizes histone H4 N-terminal tail (NT) acetylation (ac) in a nucleosome and acetylates non-H4 histone NTs within the same nucleosome. p300/CBP not only recognized H4NTac via the bromodomain pocket responsible for  reading, but also interacted with the DNA minor grooves via the outside of that pocket. This directed the catalytic center of p300/CBP to one of the non-H4 histone NTs. The primary target that p300  writes by  reading H4NTac was H2BNT, and H2BNTac promoted H2A-H2B dissociation from the nucleosome. We propose a model in which p300/CBP  replicates histone NT acetylation within the H3-H4 tetramer to inherit epigenetic storage, and  transcribes it from the H3-H4 tetramer to the H2B-H2A dimers to activate context-dependent gene transcription through local nucleosome destabilization."
biorxiv,10.1101/2022.04.21.489031,10.1016/j.isci.2022.105724,iScience,Transient developmental increase in cortical projections to amygdala GABAergic neurons contribute to circuit dysfunction following early life stress,"Haikonen, J.; Englund, J.; Amarilla, S. P.; Kharybina, Z.; Shintyapina, A.; Kegler, K.; Saez Garcia, M.; Atanasova, T.; Taira, T.; Hartung, H.; Lauri, S. E.",neuroscience,2022-04-22,2022-12-05,"Early life stress (ELS) results in enduring dysfunction of the cortico-limbic circuitry, underlying emotional and social behavior. However, the neurobiological mechanisms by which ELS affects development of the circuitry remain elusive. Here, we have combined viral tracing and electrophysiological techniques to study the effects of maternal separation (MS) on fronto-limbic connectivity and function in young (P14-21) rats. We report that aberrant prefrontal (mPFC) inputs to basolateral amygdala (BLA) GABAergic interneurons transiently increase the strength of feedforward inhibition in the BLA, which raises LTP induction threshold in MS treated male rats. The enhanced GABAergic activity after MS exposure associates with lower functional synchronization within prefrontal-amygdala networks in vivo. Intriguingly, no differences in these parameters were detected in females, which were also resistant to MS dependent changes in anxiety-like behaviors. Impaired plasticity and synchronization during the sensitive period of circuit refinement may contribute to long-lasting functional changes in the prefrontal-amygdaloid circuitry that predispose to neuropsychiatric conditions later on in life."
medrxiv,10.1101/2022.03.23.22272815,10.1016/j.xagr.2022.100085,AJOG Global Reports,Prediction of Uterine Dehiscence via Machine Learning by Using Lower Uterine Segment Thickness and Clinical Features,"Kement, M.; Kement, C. E.; Kokanali, M. K.; Doganay, M.",obstetrics and gynecology,2022-03-24,2022-08-16,"BackgroundWith the global increase of Cesarean section delivery rates, the long-term effects of Cesarean delivery have started to become more clear. One of the most prominent complications of Cesarean section in recurrent pregnancies is uterine rupture. Assessing the risk of uterine rupture or dehiscence is very important in order to prevent untimely operations and/or maternal and fetal complications.

ObjectiveOur study aims to assess whether machine learning can be used to predict uterine dehiscence or rupture by using patients ultrasonographic findings, clinical findings and demographic data as features. Hence, possible uterine rupture, as well as maternal and fetal complications pertinent to it, could be prevented.

Study DesignThe study was conducted on 317 patients with term (>37 weeks) singleton pregnancy. Demographics, body-mass indices, smoking and drinking habits, clinical features, past pregnancies, number and history of abortions, inter-delivery period, gestation week, number of previous Cesarean operations, fetal presentation, fetal weight, tocography data, trans-abdominal ultrasonographic measurement of lower uterine segment full thickness and myometrium thickness, lower uterine segment findings during Cesarean section were collected and analyzed using machine learning techniques. Logistic Regression, Multilayer Perceptron, Support Vector Machine, Random Forest and Naive Bayes algorithms were used for classification. The dataset was evaluated using 10-fold cross-validation. Correct Classification Rate, F-score, Matthews Correlation Coefficient, Precision-Recall Curve area and Receiver Operating Characteristics area were used as performance metrics.

ResultsAmong the machine learning techniques that has been tested in this study, Naive Bayes algorithm showed the best prediction performance. Among the various combinations of features used for prediction, the essential features of parity, gravida, tocographic contraction, dilation, d&c with the sonographic thickness of lower uterine segment myometrium yielded the best results. The runner-up performance was obtained with the sonographic full thickness of lower uterine segment added to the base features. The base features alone can classify patients with 90.5% accuracy, while adding the myometrium measurement increases the classification performance by 5.1% to 95.6%. Adding the full thickness measurement to the base features raises the classification performance by 4.8% to 95.3% in terms of Correct Classification Rate.

ConclusionNaive Bayes algorithm can correctly classify uterine rupture or dehiscence with a Correct Classification Rate of 0.953, an F-score of 0.952 and a Matthews Correlation Coefficient value of 0.641. This result can be interpreted such that by using clinical features and lower uterine segment ultrasonography findings, machine learning can be used to accurately predict uterine rupture or dehiscence.

Trial registrationClinical Research Ethics Committee of Ankara City Hospital, University of Health Sciences (Approval number: E2-20-108)

Date of registration: 27-01-2021

URL: https://ankarasehir.saglik.gov.tr/TR-348810/2-nolu-etik-kurul.html

e-mail: ankarash.etikkurul2@saglik.gov.tr

AJOG at a GlanceA. Why was this study conducted?This study was conducted to:

O_LIDetermine whether machine learning algorithms can be utilized to predict uterine dehiscence and assess the risk of uterine rupture
C_LIO_LIEvaluate the contribution of ultrasonographic measurement of lower uterine segment measurements to the prediction performance of the algorithms
C_LIO_LIFind out which machine learning technique performs the best for predicting uterine dehiscence.
C_LI

B. What are the key findings?O_LIMachine learning methods can be used to accurately predict uterine dehiscence (with up to 95.6% accuracy).
C_LIO_LIUsing lower uterine segment full thickness or myometrium thickness increases the accuracy of Naive Bayes algorithm by 4.8% and 5.1%, respectively.
C_LIO_LINaive Bayes algorithm yields the best prediction performance among the methods tried.
C_LI

C. What does this study add to what is already known?O_LIUltrasonographic lower uterine segment measurements can be used as features in machine learning to increase its prediction performance of uterine dehiscence and hence the risk of uterine rupture.
C_LI"
biorxiv,10.1101/561357,10.1186/s12859-019-3299-y,BMC Bioinformatics,DeepSV: Accurate calling of genomic deletions from high throughput sequencing data using deep convolutional neural network,"Cai, L.; Wu, Y.; Gao, J.",bioinformatics,2019-02-26,2019-12-13,"BackgroundCalling genetic variations from sequence reads is an important problem in genomics. There are many existing methods for calling various types of variations. Recently, Google developed a method for calling single nucleotide polymorphisms (SNPs) based on deep learning. Their method visualizes sequence reads in the forms of images. These images are then used to train a deep neural network model, which is used to call SNPs. This raises a research question: can deep learning be used to call more complex genetic variations such as structural variations (SVs) from sequence data?

ResultsIn this paper, we extend this high-level approach to the problem of calling structural variations. We present DeepSV, an approach based on deep learning for calling long deletions from sequence reads. DeepSV is based on a novel method of visualizing sequence reads. The visualization is designed to capture multiple sources of information in the sequence data that are relevant to long deletions. DeepSV also implements techniques for working with noisy training data. DeepSV trains a model from the visualized sequence reads and calls deletions based on this model. We demonstrate that DeepSV outperforms existing methods in terms of accuracy and efficiency of deletion calling on the data from the 1000 Genomes Project.

ConclutionsOur work shows that deep learning can potentially lead to effective calling of different types of genetic variations that are complex than SNPs.

Availability and implementationDeepSVs source code and sample result as part of this project are readily available from GitHub at https://github.com/CSuperlei/DeepSV/."
